iter	Passed	Remaining
399	31913	47870
400	31986	47779
401	32062	47694
402	32139	47611
403	32218	47529
404	32291	47440
405	32364	47351
406	32446	47274
407	32525	47193
408	32601	47108
409	32674	47019
410	32751	46935
411	32824	46846
412	32905	46768
413	32981	46683
414	33065	46609
415	33149	46536
416	33232	46461
417	33313	46384
418	33392	46303
419	33467	46217
420	33541	46130
421	33619	46048
422	33710	45983
423	33795	45910
424	33880	45838
425	33960	45759
426	34041	45680
427	34120	45600
428	34204	45525
429	34286	45449
430	34363	45366
431	34443	45286
432	34516	45198
433	34592	45113
434	34668	45029
435	34740	44939
436	34814	44851
437	34888	44765
438	34960	44676
439	35034	44589
440	35108	44502
441	35181	44414
442	35255	44328
443	35328	44240
444	35401	44152
445	35476	44067
446	35551	43982
447	35627	43898
448	35700	43810
449	35772	43721
450	35844	43633
451	35920	43549
452	35995	43464
453	36067	43376
454	36141	43290
455	36218	43207
456	36293	43123
457	36369	43040
458	36442	42952
459	36516	42867
460	36590	42781
461	36662	42693
462	36734	42605
463	36811	42523
464	36887	42440
465	36960	42353
466	37033	42267
467	37108	42183
468	37180	42095
469	37258	42015
470	37331	41928
471	37405	41843
472	37478	41757
473	37554	41674
474	37628	41589
475	37701	41503
476	37775	41417
477	37847	41331
478	37920	41245
479	37996	41162
480	38070	41078
481	38144	40993
482	38218	40908
483	38290	40822
484	38363	40736
485	38439	40654
486	38512	40568
487	38589	40487
488	38663	40403
489	38737	40318
490	38811	40233
491	38884	40149
492	38959	40065
493	39031	39979
494	39105	39895
495	39178	39810
496	39251	39725
497	39326	39642
498	39401	39559
499	39476	39476
500	39549	39391
501	39626	39310
502	39698	39224
503	39770	39139
504	39846	39057
505	39921	38974
506	39994	38889
507	40067	38805
508	40139	38719
509	40211	38634
510	40286	38552
511	40362	38470
512	40437	38387
513	40512	38305
514	40584	38220
515	40660	38139
516	40734	38055
517	40808	37972
518	40883	37889
519	40957	37806
520	41029	37721
521	41109	37644
522	41191	37568
523	41276	37495
524	41359	37420
525	41444	37346
526	41524	37269
527	41599	37187
528	41684	37114
529	41766	37037
530	41853	36966
531	41939	36893
532	42017	36814
533	42092	36731
534	42165	36648
535	42245	36570
536	42323	36491
537	42397	36408
538	42472	36326
539	42546	36243
540	42622	36161
541	42695	36078
542	42770	35996
543	42843	35913
544	42915	35828
545	42996	35751
546	43077	35674
547	43151	35592
548	43227	35510
549	43300	35427
550	43374	35344
551	43449	35262
552	43520	35178
553	43593	35094
554	43665	35010
555	43738	34927
556	43812	34845
557	43886	34762
558	43959	34679
559	44033	34598
560	44109	34517
561	44184	34435
562	44256	34351
563	44332	34271
564	44411	34193
565	44484	34110
566	44559	34028
567	44632	33946
568	44707	33864
569	44781	33782
570	44854	33699
571	44926	33616
572	45000	33534
573	45075	33452
574	45150	33371
575	45223	33289
576	45298	33208
577	45373	33127
578	45447	33045
579	45521	32964
580	45594	32881
581	45670	32800
582	45745	32719
583	45818	32638
584	45892	32555
585	45963	32472
586	46044	32396
587	46118	32313
588	46192	32232
589	46269	32153
590	46347	32074
591	46420	31992
592	46496	31912
593	46572	31832
594	46647	31751
595	46722	31671
596	46795	31588
597	46868	31506
598	46942	31425
599	47018	31345
600	47091	31263
601	47166	31182
602	47241	31102
603	47313	31020
604	47387	30939
605	47465	30860
606	47537	30777
607	47612	30697
608	47686	30616
609	47761	30536
610	47837	30456
611	47912	30375
612	47986	30295
613	48061	30214
614	48138	30135
615	48212	30054
616	48285	29973
617	48361	29893
618	48436	29812
619	48512	29733
620	48585	29652
621	48659	29571
622	48732	29490
623	48809	29410
624	48884	29330
625	48963	29252
626	49037	29172
627	49113	29092
628	49187	29012
629	49263	28932
630	49339	28853
631	49419	28775
632	49493	28695
633	49570	28616
634	49650	28539
635	49724	28458
636	49798	28378
637	49876	28299
638	49954	28221
639	50031	28142
640	50107	28063
641	50184	27984
642	50258	27903
643	50331	27823
644	50410	27745
645	50485	27665
646	50562	27586
647	50635	27505
648	50709	27425
649	50785	27346
650	50860	27266
651	50939	27188
652	51018	27110
653	51092	27030
654	51170	26952
655	51245	26872
656	51322	26793
657	51400	26715
658	51475	26636
659	51557	26559
660	51637	26482
661	51717	26405
662	51797	26328
663	51874	26249
664	51952	26171
665	52029	26092
666	52105	26013
667	52178	25933
668	52261	25857
669	52339	25779
670	52419	25701
671	52501	25625
672	52580	25548
673	52659	25470
674	52734	25390
675	52810	25311
676	52889	25233
677	52963	25153
678	53038	25073
679	53119	24997
680	53192	24917
681	53270	24838
682	53351	24762
683	53439	24688
684	53520	24611
685	53602	24535
686	53685	24459
687	53763	24381
688	53842	24303
689	53916	24223
690	53999	24147
691	54075	24068
692	54156	23991
693	54232	23912
694	54313	23835
695	54392	23757
696	54467	23677
697	54543	23599
698	54627	23523
699	54704	23444
700	54781	23366
701	54860	23288
702	54943	23212
703	55035	23140
704	55109	23059
705	55182	22979
706	55256	22899
707	55329	22819
708	55417	22745
709	55498	22668
710	55579	22591
711	55658	22513
712	55736	22435
713	55812	22356
714	55887	22276
715	55965	22198
716	56041	22119
717	56115	22039
718	56188	21959
719	56266	21881
720	56356	21808
721	56431	21728
722	56505	21648
723	56577	21568
724	56651	21488
725	56726	21409
726	56800	21329
727	56873	21249
728	56954	21172
729	57046	21099
730	57122	21020
731	57195	20940
732	57273	20862
733	57349	20783
734	57425	20704
735	57506	20627
736	57585	20549
737	57660	20470
738	57738	20391
739	57816	20313
740	57893	20235
741	57977	20159
742	58055	20081
743	58128	20001
744	58208	19923
745	58295	19848
746	58382	19773
747	58463	19696
748	58542	19618
749	58625	19541
750	58707	19465
751	58796	19390
752	58876	19312
753	58968	19238
754	59055	19163
755	59150	19091
756	59236	19015
757	59321	18938
758	59413	18865
759	59503	18790
760	59621	18724
761	59777	18670
762	59865	18595
763	59949	18518
764	60032	18441
765	60112	18363
766	60196	18286
767	60279	18209
768	60359	18131
769	60443	18054
770	60521	17976
771	60604	17898
772	60690	17822
773	60774	17745
774	60859	17668
775	60940	17591
776	61018	17512
777	61097	17433
778	61173	17354
779	61252	17276
780	61330	17197
781	61409	17119
782	61484	17039
783	61559	16960
784	61636	16881
785	61711	16801
786	61789	16723
787	61881	16648
788	61960	16569
789	62043	16492
790	62128	16415
791	62205	16336
792	62287	16259
793	62374	16182
794	62455	16104
